section,subsection,item_order,item_type,item_text,rank,feature,current_app_area,value,implementation_effort,privacy_security,pilot_essentiality,potential_time_savings,reason
Ranked Features,Feature,19,ranked_feature,Home announcements editing,19,Home announcements editing,Manager portal,Medium,Medium,Medium,Low,"~20-60 hrs/yr from faster publishing versus manual relaying","Helpful, but not especially pilot-essential and not a top value/effort win."
Ranked Features,Feature,20,ranked_feature,Aloha + Choices reference,20,Aloha + Choices reference,References > Aloha + Choices,Medium,Low,Low,Low,"~20-60 hrs/yr from quicker leftover and setup lookups","Useful niche reference, but narrower than the top pilot features."
Ranked Features,Feature,21,ranked_feature,Line secondary + checkoff reference,21,Line secondary + checkoff reference,References > Line Secondary + Checkoff,Medium,Low,Low,Low,"~20-50 hrs/yr through faster close/checkoff lookups","Helpful, though more limited in scope than the broader reference and workflow tools."
Ranked Features,Feature,22,ranked_feature,Condiments rotation reference,22,Condiments rotation reference,References > Condiments Rotation,Low,Low,Low,Low,"~10-40 hrs/yr from occasional rotation lookup savings","Good to have, but narrow and not pilot-essential."
Ranked Features,Feature,23,ranked_feature,Dining map,23,Dining map,References > Dining Map,Low,Low,Low,Low,"~10-30 hrs/yr, mostly for newer workers and occasional wayfinding questions","Helpful onboarding aid, but one of the lower-return pilot features."
Ranked Features,Feature,24,ranked_feature,Role selection by actual user capability,24,Role selection by actual user capability,Dashboard routing / auth-based gating,Low,Medium,Medium,Low,Small indirect savings only; mostly governance and UX polish,"Useful later, but not essential to a pilot and not a strong time-savings feature."
Ranked Features,Feature,25,ranked_feature,Login / JWT auth,25,Login / JWT auth,Auth flow,Low,Medium,High,Low,Little to no direct labor savings; mostly governance and access control value,"Important for production hardening, but not for pilot-essential ranking and not a time-savings priority."
Ranked Features,Feature,26,ranked_feature,Profile tab,26,Profile tab,Profile,Low,Low,Medium,Low,Little to no direct labor savings,"Lowest pilot-essentiality and lowest operational return among the current features."
Main Takeaway,Key point,1,text,The first-wave pilot should still center on the features that make the app obviously useful with low rollout friction.,,,,,,,,,
Main Takeaway,Key point,2,text,Points and reporting are still high-value features with real labor-saving potential even though they rank lower than the simplest pilot features.,,,,,,,,,
